Security Code,Short Volume Pct,Group Avg Short Volume Pct,Group Std Short Volume Pct,Group Z score Short Volume Pct
00652,1.3642234411870056,0.026941164137166074,0.48472077417067316,2.7588713921697408
00715L,4.561667913750261,0.026941164137166074,0.48472077417067316,9.355338147765027
00935,1.7607069460730314,0.026941164137166074,0.48472077417067316,3.5768340750450194
1449,1.4870768743677547,-0.008602997844975308,0.2722168121804702,5.494443418950724
1582,2.302449213444706,-0.008602997844975308,0.2722168121804702,8.489748273730921
1721,0.7038430933367473,-0.008602997844975308,0.2722168121804702,2.617200919645609
3576,92.7292359110961,0.7228240320945643,8.298162791136068,11.087564102415651
4961,0.5741063721605749,-0.021815200687017477,0.13117605845298044,4.542914155796183
5258,0.39075871557465464,-0.017296561012629514,0.14512324949849523,2.8117843143494055
6117,1.053589276207803,-0.03658647354995613,0.2864430309889938,3.8059077436575777
8110,0.6508206742383716,0.025086404299812876,0.1417533233429297,4.414247618200683
8210,0.4033944588682098,0.025086404299812876,0.1417533233429297,2.668777321383809
9103,0.705552711437137,0.009151761218289747,0.18744237621246188,3.7152802065926216
9921,0.43679548950756286,0.009151761218289747,0.18744237621246188,2.2814677071984417
